STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WV03,WV20
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/11/1970,40,40,,,112,0,83,0,0,,85,62,636,,,,90,90,,,,,27.5,21,1,,,,,,,1,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/12/1970,30,20,,,1206,0,84,0,0,,93,64,642,,,,225,135,,,,,24.2,17.9,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/13/1970,60,60,,,1312,0,76,0,0,,83,64,582,,,,90,90,,,,,27.5,19,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/14/1970,70,100,,,1112,0,23,0,0,,75,61,180,,,,135,90,,,,,26.4,23.9,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/15/1970,100,100,,,1554,0.08,15,0,0,,79,70,114,,,,135,135,,,,,23,17,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/16/1970,90,80,,,1506,0,54,0,0,,83,72,414,,,,135,180,,,,,28.9,25.1,1,1,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/17/1970,100,100,,,1100,0,70,0,0,,83,73,540,,,,180,90,,,,,31.1,23,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/18/1970,100,90,,,2136,0,61,0,0,,88,73,468,,,,135,135,,,,,46.1,38,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/19/1970,20,0,,,24,0,95,0,0,,87,56,738,,,,315,315,,,,,46.1,42.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/20/1970,0,0,,,1548,0,100,0,0,,88,56,780,,,,135,135,,,,,36.7,30,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/21/1970,30,30,,,1324,0,91,0,0,,84,64,708,,,,135,135,,,,,32.2,29.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/22/1970,90,80,,,1536,0,71,0,0,,86,73,552,,,,135,135,,,,,39.1,33.1,1,,,,,,,,,,,,,,1,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/23/1970,80,60,,,1748,0,91,0,0,,87,74,714,,,,135,135,,,,,35.6,29.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/24/1970,100,100,,,1136,0,68,0,0,,85,75,534,,,,180,135,,,,,30,23,1,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/25/1970,100,100,,,848,0,59,0,0,,86,73,462,,,,135,135,,,,,39.1,31.1,,,,,,,,,,,,,,,,,,,,,
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",4/26/1970,100,100,,,806,0,73,0,0,,88,73,570,,,,180,180,,,,,33.3,25.9,,,,,,,,,,,,,,,,,,,,,
